year,visit_purpose,arrivals,ad_year,purpose_share_pct
2005.0,Official,16859,2005.0,4.490966920441771
2005.0,Conv./ Conf.,0,2005.0,0.0
2005.0,Not Specified,0,2005.0,0.0
2006.0,Holiday Pleasure,145802,2006.0,37.97658923855118
2006.0,Others,72766,2006.0,18.95313159306741
2006.0,Trekking & Mountaineering,66931,2006.0,17.43330746029183
2006.0,Pilgrimage,59298,2006.0,15.445163911795504
2006.0,Business,21066,2006.0,5.486994889640191
2006.0,Official,18063,2006.0,4.704812906653887
2006.0,Conv./ Conf.,0,2006.0,0.0
2006.0,Not Specified,0,2006.0,0.0
2007.0,Holiday Pleasure,217815,2007.0,41.35426851843062
2007.0,Trekking & Mountaineering,101320,2007.0,19.23657455311797
2007.0,Others,78644,2007.0,14.931318290124453
2007.0,Pilgrimage,52594,2007.0,9.98547574068976
2007.0,Business,24487,2007.0,4.649091996468611
2007.0,Not Specified,22156,2007.0,4.2065292716036495
2007.0,Official,21670,2007.0,4.114257506573889
2007.0,Conv./ Conf.,8019,2007.0,1.522484122991048
2008.0,Holiday Pleasure,148180,2008.0,29.619590746726317
2008.0,Trekking & Mountaineering,104822,2008.0,20.952792153147158
2008.0,Others,99634,2008.0,19.91576666526744
2008.0,Pilgrimage,45091,2008.0,9.013206683497343
2008.0,Official,43044,2008.0,8.604033365515503
2008.0,Not Specified,29529,2008.0,5.9025299983808965
2008.0,Business,23039,2008.0,4.6052486922245075
2008.0,Conv./ Conf.,6938,2008.0,1.3868316952408366
2009.0,Holiday Pleasure,140992,2009.0,27.64787550298457
2009.0,Trekking & Mountaineering,132929,2009.0,26.066758700750654
2009.0,Others,87134,2009.0,17.0865721748543
2009.0,Pilgrimage,51542,2009.0,10.10714649891363
2009.0,Not Specified,40098,2009.0,7.863031320349206
2009.0,Official,24518,2009.0,4.807865776655241
2009.0,Business,22758,2009.0,4.462737961706501
2009.0,Conv./ Conf.,9985,2009.0,1.9580120637858953
2010.0,Total,602867,2010.0,50.0
2010.0,Holiday Pleasure,263938,2010.0,21.89023449616582
2010.0,Pilgrimage,101335,2010.0,8.404424193064141
2010.0,Trekking & Mountaineering,70218,2010.0,5.823672551325583
2010.0,Not Specified,57651,2010.0,4.781402863318111
2010.0,Others,52347,2010.0,4.341504842693331
2010.0,Official,26374,2010.0,2.1873812963721684
2010.0,Business,21377,2010.0,1.7729449447390553
2010.0,Conv./ Conf.,9627,2010.0,0.7984348123217891
2011.0,Holiday Pleasure,425721,2011.0,57.825635174507454
2011.0,Trekking & Mountaineering,86260,2011.0,11.716686022425513
2011.0,Not Specified,70391,2011.0,9.561201551177305
2011.0,Pilgrimage,63783,2011.0,8.663637660194373
2011.0,Others,37311,2011.0,5.067948900796642
2011.0,Official,24054,2011.0,3.2672520934781275
2011.0,Business,17859,2011.0,2.4257859456816284
2011.0,Conv./ Conf.,10836,2011.0,1.471852651738962
2012.0,Holiday Pleasure,379627,2012.0,47.270673845586806
2012.0,Pilgrimage,109854,2012.0,13.678881124453984
2012.0,Trekking & Mountaineering,105015,2012.0,13.076334965358887
2012.0,Not Specified,91165,2012.0,11.35175048437788
2012.0,Others,48540,2012.0,6.044139401214307
2012.0,Official,30460,2012.0,3.79284067080733
2012.0,Business,24785,2012.0,3.0861968491779272
2012.0,Conv./ Conf.,13646,2012.0,1.6991826590228767
2013.0,Holiday Pleasure,437891,2013.0,54.900045761426256
2013.0,Trekking & Mountaineering,97309,2013.0,12.199996238786884
2013.0,Not Specified,73381,2013.0,9.200052656983633
2013.0,Others,62214,2013.0,7.800003761213116
2013.0,Pilgrimage,40678,2013.0,5.099954238573748
2013.0,Official,39881,2013.0,5.000031343442638
2013.0,Business,30309,2013.0,3.7999536117048955
2013.0,Conv./ Conf.,15952,2013.0,1.999962387868834
2014.0,Holiday Pleasure,395849,2014.0,50.099921657370594
2014.0,Pilgrimage,98765,2014.0,12.500015820401735
2014.0,Trekking & Mountaineering,97185,2014.0,12.300045942446644
2014.0,Not Specified,74271,2014.0,9.399976459242215
2014.0,Others,53728,2014.0,6.799988356184322
2014.0,Official,32395,2014.0,4.100015314148881
2014.0,Business,24494,2014.0,3.1000393611595216
2014.0,Conv./ Conf.,13432,2014.0,1.6999970890460805
2015.0,Holiday Pleasure,386065,2015.0,71.63014639033712
2015.0,Others,77354,2015.0,14.352190288884353
2015.0,Official,21479,2015.0,3.9851939811121215
2015.0,Business,20876,2015.0,3.8733139135758945
2015.0,Pilgrimage,14996,2015.0,2.7823441007848304
2015.0,Trekking & Mountaineering,9162,2015.0,1.699909085848934
2015.0,Conv./ Conf.,9038,2015.0,1.6769022394567414
2015.0,Not Specified,0,2015.0,0.0
2016.0,Holiday Pleasure,489451,2016.0,65.00004648068196
2016.0,Pilgrimage,82830,2016.0,10.99998539178567
2016.0,Trekking & Mountaineering,66490,2016.0,8.830001553782797
2016.0,Others,55797,2016.0,7.4099503187910765
2016.0,Business,24322,2016.0,3.2300089906919114
2016.0,Official,21310,2016.0,2.8300095218997052
2016.0,Conv./ Conf.,12801,2016.0,1.699997742366876
2016.0,Not Specified,0,2016.0,0.0
2017.0,Holiday Pleasure,658153,2017.0,70.00004254332507
2017.0,Pilgrimage,141033,2017.0,15.000031907493794
2017.0,Trekking & Mountaineering,75217,2017.0,7.999953202342436
2017.0,Conv./ Conf.,65815,2017.0,6.999972346838712
2017.0,Business,0,2017.0,0.0
2017.0,Official,0,2017.0,0.0
2017.0,Others,0,2017.0,0.0
2017.0,Not Specified,0,2017.0,0.0
2018.0,Holiday Pleasure,703843,2018.0,59.99998295074812
2018.0,Trekking & Mountaineering,187692,2018.0,16.00004091820451
2018.0,Pilgrimage,169180,2018.0,14.421962164300231
2018.0,Conv./ Conf.,112357,2018.0,9.57801396674714
2018.0,Business,0,2018.0,0.0
2018.0,Official,0,2018.0,0.0
2018.0,Others,0,2018.0,0.0
2018.0,Not Specified,0,2018.0,0.0
2019.0,Holiday Pleasure,778173,2019.0,64.99957818136865
2019.0,Trekking & Mountaineering,197786,2019.0,16.520756400158035
2019.0,Pilgrimage,171937,2019.0,14.361629706723289
2019.0,Conv./ Conf.,49301,2019.0,4.1180357117500295
2019.0,Business,0,2019.0,0.0
2019.0,Official,0,2019.0,0.0
2019.0,Others,0,2019.0,0.0
2019.0,Not Specified,0,2019.0,0.0
2020.0,Holiday Pleasure,139202,2020.0,60.500249907642825
2020.0,Pilgrimage,35893,2020.0,15.599886998283244
2020.0,Trekking & Mountaineering,28530,2020.0,12.399765304126737
2020.0,Conv./ Conf.,26460,2020.0,11.500097789947192
2020.0,Business,0,2020.0,0.0
2020.0,Official,0,2020.0,0.0
2020.0,Others,0,2020.0,0.0
2020.0,Not Specified,0,2020.0,0.0
2021.0,Holiday Pleasure,100843,2021.0,66.80025436864906
2021.0,Conv./ Conf.,23398,2021.0,15.4992647156238
2021.0,Trekking & Mountaineering,15549,2021.0,10.299943032021304
2021.0,Pilgrimage,11172,2021.0,7.400537883705834
2021.0,Business,0,2021.0,0.0
2021.0,Official,0,2021.0,0.0
2021.0,Others,0,2021.0,0.0
2021.0,Not Specified,0,2021.0,0.0
2022.0,Holiday Pleasure,397820,2022.0,64.69996047938666
2022.0,Pilgrimage,79146,2022.0,12.872010135492276
2022.0,Conv./ Conf.,76202,2022.0,12.393208959957324
2022.0,Trekking & Mountaineering,61701,2022.0,10.034820425163735
2022.0,Business,0,2022.0,0.0
2022.0,Official,0,2022.0,0.0
2022.0,Others,0,2022.0,0.0
2022.0,Not Specified,0,2022.0,0.0
2023.0,Holiday Pleasure,634301,2023.0,62.49997536659434
2023.0,Trekking & Mountaineering,154262,2023.0,15.199993693848151
2023.0,Pilgrimage,132949,2023.0,13.099946594776535
2023.0,Conv./ Conf.,93370,2023.0,9.200084344780969
2023.0,Business,0,2023.0,0.0
2023.0,Official,0,2023.0,0.0
2023.0,Others,0,2023.0,0.0
2023.0,Not Specified,0,2023.0,0.0
2024.0,Holiday Pleasure,693119,2024.0,60.40000069713859
2024.0,Pilgrimage,175575,2024.0,15.300013594202596
2024.0,Trekking & Mountaineering,166394,2024.0,14.499959914530807
2024.0,Conv./ Conf.,112460,2024.0,9.800025794128002
2024.0,Business,0,2024.0,0.0
2024.0,Official,0,2024.0,0.0
2024.0,Others,0,2024.0,0.0
2024.0,Not Specified,0,2024.0,0.0
