nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
Germany,2020,Apr,0.0,5896.0,2020.0,4.0,2020-04-01,0.0
Spain,2020,Apr,0.0,1625.0,2020.0,4.0,2020-04-01,0.0
Thailand,2020,Apr,0.0,20778.0,2020.0,4.0,2020-04-01,0.0
USA,2020,Apr,0.0,17767.0,2020.0,4.0,2020-04-01,0.0
Italy,2020,Apr,0.0,1599.0,2020.0,4.0,2020-04-01,0.0
Myanmar,2020,Apr,0.0,20911.0,2020.0,4.0,2020-04-01,0.0
South Korea,2020,Apr,0.0,6944.0,2020.0,4.0,2020-04-01,0.0
Japan,2020,Apr,0.0,5599.0,2020.0,4.0,2020-04-01,0.0
UK,2020,Apr,5.0,11762.0,2020.0,4.0,2020-04-01,41.66666666666667
Netherlands,2020,Apr,0.0,2563.0,2020.0,4.0,2020-04-01,0.0
Bangladesh,2020,Apr,0.0,4917.0,2020.0,4.0,2020-04-01,0.0
Malaysia,2020,Apr,0.0,3460.0,2020.0,4.0,2020-04-01,0.0
Myanmar,2020,May,0.0,20911.0,2020.0,5.0,2020-05-01,0.0
Canada,2020,May,2.0,3102.0,2020.0,5.0,2020-05-01,8.333333333333332
Sri Lanka,2020,May,0.0,13328.0,2020.0,5.0,2020-05-01,0.0
Malaysia,2020,May,0.0,3460.0,2020.0,5.0,2020-05-01,0.0
China,2020,May,0.0,19257.0,2020.0,5.0,2020-05-01,0.0
Germany,2020,May,0.0,5896.0,2020.0,5.0,2020-05-01,0.0
Spain,2020,May,0.0,1625.0,2020.0,5.0,2020-05-01,0.0
Netherlands,2020,May,0.0,2563.0,2020.0,5.0,2020-05-01,0.0
UK,2020,May,7.0,11762.0,2020.0,5.0,2020-05-01,29.166666666666668
USA,2020,May,0.0,17767.0,2020.0,5.0,2020-05-01,0.0
France,2020,May,1.0,4540.0,2020.0,5.0,2020-05-01,4.166666666666666
Thailand,2020,May,0.0,20778.0,2020.0,5.0,2020-05-01,0.0
Italy,2020,May,0.0,1599.0,2020.0,5.0,2020-05-01,0.0
Others,2020,May,6.0,38908.0,2020.0,5.0,2020-05-01,25.0
South Korea,2020,May,0.0,6944.0,2020.0,5.0,2020-05-01,0.0
Japan,2020,May,2.0,5599.0,2020.0,5.0,2020-05-01,8.333333333333332
Bangladesh,2020,May,2.0,4917.0,2020.0,5.0,2020-05-01,8.333333333333332
Australia,2020,May,4.0,6793.0,2020.0,5.0,2020-05-01,16.666666666666664
Canada,2020,Jun,5.0,3102.0,2020.0,6.0,2020-06-01,6.578947368421052
Others,2020,Jun,33.0,38908.0,2020.0,6.0,2020-06-01,43.42105263157895
UK,2020,Jun,19.0,11762.0,2020.0,6.0,2020-06-01,25.0
Italy,2020,Jun,0.0,1599.0,2020.0,6.0,2020-06-01,0.0
Spain,2020,Jun,0.0,1625.0,2020.0,6.0,2020-06-01,0.0
South Korea,2020,Jun,0.0,6944.0,2020.0,6.0,2020-06-01,0.0
Malaysia,2020,Jun,0.0,3460.0,2020.0,6.0,2020-06-01,0.0
Germany,2020,Jun,2.0,5896.0,2020.0,6.0,2020-06-01,2.631578947368421
Japan,2020,Jun,0.0,5599.0,2020.0,6.0,2020-06-01,0.0
China,2020,Jun,0.0,19257.0,2020.0,6.0,2020-06-01,0.0
USA,2020,Jun,8.0,17767.0,2020.0,6.0,2020-06-01,10.526315789473683
Australia,2020,Jun,2.0,6793.0,2020.0,6.0,2020-06-01,2.631578947368421
Sri Lanka,2020,Jun,0.0,13328.0,2020.0,6.0,2020-06-01,0.0
Myanmar,2020,Jun,0.0,20911.0,2020.0,6.0,2020-06-01,0.0
Netherlands,2020,Jun,1.0,2563.0,2020.0,6.0,2020-06-01,1.3157894736842104
France,2020,Jun,4.0,4540.0,2020.0,6.0,2020-06-01,5.263157894736842
Thailand,2020,Jun,0.0,20778.0,2020.0,6.0,2020-06-01,0.0
Bangladesh,2020,Jun,2.0,4917.0,2020.0,6.0,2020-06-01,2.631578947368421
USA,2020,Jul,8.0,17767.0,2020.0,7.0,2020-07-01,4.705882352941177
UK,2020,Jul,19.0,11762.0,2020.0,7.0,2020-07-01,11.176470588235295
Bangladesh,2020,Jul,2.0,4917.0,2020.0,7.0,2020-07-01,1.1764705882352942
France,2020,Jul,4.0,4540.0,2020.0,7.0,2020-07-01,2.3529411764705883
Netherlands,2020,Jul,1.0,2563.0,2020.0,7.0,2020-07-01,0.5882352941176471
Sri Lanka,2020,Jul,0.0,13328.0,2020.0,7.0,2020-07-01,0.0
Spain,2020,Jul,0.0,1625.0,2020.0,7.0,2020-07-01,0.0
Germany,2020,Jul,2.0,5896.0,2020.0,7.0,2020-07-01,1.1764705882352942
Italy,2020,Jul,0.0,1599.0,2020.0,7.0,2020-07-01,0.0
Canada,2020,Jul,4.0,3102.0,2020.0,7.0,2020-07-01,2.3529411764705883
Others,2020,Jul,128.0,38908.0,2020.0,7.0,2020-07-01,75.29411764705883
Japan,2020,Jul,0.0,5599.0,2020.0,7.0,2020-07-01,0.0
Thailand,2020,Jul,0.0,20778.0,2020.0,7.0,2020-07-01,0.0
Myanmar,2020,Jul,0.0,20911.0,2020.0,7.0,2020-07-01,0.0
Australia,2020,Jul,2.0,6793.0,2020.0,7.0,2020-07-01,1.1764705882352942
Malaysia,2020,Jul,0.0,3460.0,2020.0,7.0,2020-07-01,0.0
