nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
Others,2021,Jun,334.0,26013.0,2021.0,6.0,2021-06-01,40.53398058252427
Thailand,2021,Jun,5.0,576.0,2021.0,6.0,2021-06-01,0.6067961165048543
Netherlands,2021,Jun,5.0,1303.0,2021.0,6.0,2021-06-01,0.6067961165048543
Malaysia,2021,Jun,5.0,331.0,2021.0,6.0,2021-06-01,0.6067961165048543
Sri Lanka,2021,Jun,3.0,463.0,2021.0,6.0,2021-06-01,0.3640776699029126
Bangladesh,2021,Jun,0.0,5044.0,2021.0,6.0,2021-06-01,0.0
France,2021,Jun,14.0,2829.0,2021.0,6.0,2021-06-01,1.6990291262135921
Australia,2021,Jun,11.0,2477.0,2021.0,6.0,2021-06-01,1.3349514563106795
Myanmar,2021,Jun,4.0,344.0,2021.0,6.0,2021-06-01,0.48543689320388345
UK,2021,Jun,58.0,8680.0,2021.0,6.0,2021-06-01,7.038834951456311
South Korea,2021,Jun,32.0,1263.0,2021.0,6.0,2021-06-01,3.8834951456310676
China,2021,Jun,38.0,6198.0,2021.0,6.0,2021-06-01,4.611650485436893
Japan,2021,Jul,6.0,784.0,2021.0,7.0,2021-07-01,0.3019627579265224
Netherlands,2021,Jul,29.0,1303.0,2021.0,7.0,2021-07-01,1.4594866633115249
South Korea,2021,Jul,58.0,1263.0,2021.0,7.0,2021-07-01,2.9189733266230498
Malaysia,2021,Jul,5.0,331.0,2021.0,7.0,2021-07-01,0.25163563160543534
Sri Lanka,2021,Jul,13.0,463.0,2021.0,7.0,2021-07-01,0.6542526421741319
USA,2021,Jul,816.0,22854.0,2021.0,7.0,2021-07-01,41.06693507800704
Bangladesh,2021,Jul,8.0,5044.0,2021.0,7.0,2021-07-01,0.40261701056869653
Spain,2021,Jul,13.0,1151.0,2021.0,7.0,2021-07-01,0.6542526421741319
Germany,2021,Jul,31.0,2929.0,2021.0,7.0,2021-07-01,1.560140915953699
Thailand,2021,Jul,6.0,576.0,2021.0,7.0,2021-07-01,0.3019627579265224
Myanmar,2021,Jul,1.0,344.0,2021.0,7.0,2021-07-01,0.050327126321087066
UK,2021,Jul,184.0,8680.0,2021.0,7.0,2021-07-01,9.260191243080019
Others,2021,Jul,586.0,26013.0,2021.0,7.0,2021-07-01,29.491696024157022
Australia,2021,Jul,52.0,2477.0,2021.0,7.0,2021-07-01,2.6170105686965277
France,2021,Jul,41.0,2829.0,2021.0,7.0,2021-07-01,2.06341217916457
China,2021,Jul,50.0,6198.0,2021.0,7.0,2021-07-01,2.5163563160543534
Italy,2021,Jul,9.0,613.0,2021.0,7.0,2021-07-01,0.45294413688978363
Canada,2021,Jul,79.0,2438.0,2021.0,7.0,2021-07-01,3.9758429793658783
France,2021,Aug,128.0,2829.0,2021.0,8.0,2021-08-01,3.1196685352181333
USA,2021,Aug,1237.0,22854.0,2021.0,8.0,2021-08-01,30.148671703631493
South Korea,2021,Aug,64.0,1263.0,2021.0,8.0,2021-08-01,1.5598342676090666
Malaysia,2021,Aug,8.0,331.0,2021.0,8.0,2021-08-01,0.19497928345113333
Others,2021,Aug,1390.0,26013.0,2021.0,8.0,2021-08-01,33.87765049963441
Italy,2021,Aug,33.0,613.0,2021.0,8.0,2021-08-01,0.8042895442359249
Bangladesh,2021,Aug,31.0,5044.0,2021.0,8.0,2021-08-01,0.7555447233731416
Netherlands,2021,Aug,69.0,1303.0,2021.0,8.0,2021-08-01,1.681696319766025
Myanmar,2021,Aug,8.0,344.0,2021.0,8.0,2021-08-01,0.19497928345113333
Thailand,2021,Aug,52.0,576.0,2021.0,8.0,2021-08-01,1.2673653424323665
Sri Lanka,2021,Aug,40.0,463.0,2021.0,8.0,2021-08-01,0.9748964172556666
Australia,2021,Aug,64.0,2477.0,2021.0,8.0,2021-08-01,1.5598342676090666
Germany,2021,Aug,81.0,2929.0,2021.0,8.0,2021-08-01,1.9741652449427247
Canada,2021,Aug,145.0,2438.0,2021.0,8.0,2021-08-01,3.5339995125517913
UK,2021,Aug,416.0,8680.0,2021.0,8.0,2021-08-01,10.138922739458932
Spain,2021,Aug,57.0,1151.0,2021.0,8.0,2021-08-01,1.389227394589325
China,2021,Aug,256.0,6198.0,2021.0,8.0,2021-08-01,6.2393370704362665
Japan,2021,Aug,24.0,784.0,2021.0,8.0,2021-08-01,0.5849378503534
Thailand,2021,Sep,61.0,576.0,2021.0,9.0,2021-09-01,0.9568627450980391
Spain,2021,Sep,73.0,1151.0,2021.0,9.0,2021-09-01,1.1450980392156862
Myanmar,2021,Sep,22.0,344.0,2021.0,9.0,2021-09-01,0.34509803921568627
Italy,2021,Sep,68.0,613.0,2021.0,9.0,2021-09-01,1.0666666666666667
France,2021,Sep,235.0,2829.0,2021.0,9.0,2021-09-01,3.686274509803922
Malaysia,2021,Sep,32.0,331.0,2021.0,9.0,2021-09-01,0.5019607843137255
Japan,2021,Sep,98.0,784.0,2021.0,9.0,2021-09-01,1.5372549019607842
Sri Lanka,2021,Sep,39.0,463.0,2021.0,9.0,2021-09-01,0.611764705882353
UK,2021,Sep,438.0,8680.0,2021.0,9.0,2021-09-01,6.870588235294117
Germany,2021,Sep,225.0,2929.0,2021.0,9.0,2021-09-01,3.5294117647058822
Bangladesh,2021,Sep,62.0,5044.0,2021.0,9.0,2021-09-01,0.9725490196078431
Australia,2021,Sep,77.0,2477.0,2021.0,9.0,2021-09-01,1.207843137254902
South Korea,2021,Sep,121.0,1263.0,2021.0,9.0,2021-09-01,1.8980392156862744
Netherlands,2021,Sep,120.0,1303.0,2021.0,9.0,2021-09-01,1.8823529411764703
Canada,2021,Sep,261.0,2438.0,2021.0,9.0,2021-09-01,4.094117647058824
USA,2021,Sep,1848.0,22854.0,2021.0,9.0,2021-09-01,28.988235294117647
Others,2021,Sep,2362.0,26013.0,2021.0,9.0,2021-09-01,37.05098039215686
China,2021,Sep,233.0,6198.0,2021.0,9.0,2021-09-01,3.654901960784314
Japan,2021,Oct,94.0,784.0,2021.0,10.0,2021-10-01,0.6438797177888896
Malaysia,2021,Oct,35.0,331.0,2021.0,10.0,2021-10-01,0.23974244811288442
UK,2021,Oct,1382.0,8680.0,2021.0,10.0,2021-10-01,9.466401808343038
Others,2021,Oct,4403.0,26013.0,2021.0,10.0,2021-10-01,30.159599972600866
South Korea,2021,Oct,196.0,1263.0,2021.0,10.0,2021-10-01,1.3425577094321528
Myanmar,2021,Oct,13.0,344.0,2021.0,10.0,2021-10-01,0.08904719501335707
Thailand,2021,Oct,90.0,576.0,2021.0,10.0,2021-10-01,0.6164805808617028
USA,2021,Oct,4721.0,22854.0,2021.0,10.0,2021-10-01,32.337831358312215
Germany,2021,Oct,790.0,2929.0,2021.0,10.0,2021-10-01,5.4113295431193915
Netherlands,2021,Oct,251.0,1303.0,2021.0,10.0,2021-10-01,1.7192958421809714
China,2021,Oct,308.0,6198.0,2021.0,10.0,2021-10-01,2.109733543393383
Italy,2021,Oct,98.0,613.0,2021.0,10.0,2021-10-01,0.6712788547160764
Sri Lanka,2021,Oct,58.0,463.0,2021.0,10.0,2021-10-01,0.3972874854442085
Bangladesh,2021,Oct,481.0,5044.0,2021.0,10.0,2021-10-01,3.2947462154942118
France,2021,Oct,739.0,2829.0,2021.0,10.0,2021-10-01,5.06199054729776
Spain,2021,Oct,238.0,1151.0,2021.0,10.0,2021-10-01,1.630248647167614
Canada,2021,Oct,563.0,2438.0,2021.0,10.0,2021-10-01,3.8564285225015413
Australia,2021,Oct,139.0,2477.0,2021.0,10.0,2021-10-01,0.9521200082197411
Canada,2021,Nov,479.0,2438.0,2021.0,11.0,2021-11-01,3.04804327076042
Thailand,2021,Nov,74.0,576.0,2021.0,11.0,2021-11-01,0.47088768692332167
USA,2021,Nov,3785.0,22854.0,2021.0,11.0,2021-11-01,24.085268851415844
South Korea,2021,Nov,229.0,1263.0,2021.0,11.0,2021-11-01,1.457206490614063
Malaysia,2021,Nov,55.0,331.0,2021.0,11.0,2021-11-01,0.34998409163219857
Others,2021,Nov,4278.0,26013.0,2021.0,11.0,2021-11-01,27.22239898186446
Myanmar,2021,Nov,27.0,344.0,2021.0,11.0,2021-11-01,0.17181037225580656
Sri Lanka,2021,Nov,66.0,463.0,2021.0,11.0,2021-11-01,0.41998090995863824
Japan,2021,Nov,159.0,784.0,2021.0,11.0,2021-11-01,1.0117721921730831
Spain,2021,Nov,262.0,1151.0,2021.0,11.0,2021-11-01,1.667196945593382
Germany,2021,Nov,725.0,2929.0,2021.0,11.0,2021-11-01,4.613426662424435
UK,2021,Nov,2026.0,8680.0,2021.0,11.0,2021-11-01,12.892141266306076
China,2021,Nov,363.0,6198.0,2021.0,11.0,2021-11-01,2.30989500477251
Australia,2021,Nov,615.0,2477.0,2021.0,11.0,2021-11-01,3.913458479160038
France,2021,Nov,808.0,2829.0,2021.0,11.0,2021-11-01,5.141584473433026
Italy,2021,Nov,142.0,613.0,2021.0,11.0,2021-11-01,0.9035952911231308
Netherlands,2021,Nov,240.0,1303.0,2021.0,11.0,2021-11-01,1.5272033089405028
Bangladesh,2021,Nov,1382.0,5044.0,2021.0,11.0,2021-11-01,8.794145720649063
Germany,2021,Dec,399.0,2929.0,2021.0,12.0,2021-12-01,2.6184538653366585
Japan,2021,Dec,139.0,784.0,2021.0,12.0,2021-12-01,0.9121932012075076
Canada,2021,Dec,351.0,2438.0,2021.0,12.0,2021-12-01,2.303451896574354
Thailand,2021,Dec,124.0,576.0,2021.0,12.0,2021-12-01,0.8137550859692873
Spain,2021,Dec,235.0,1151.0,2021.0,12.0,2021-12-01,1.5421971387321172
France,2021,Dec,319.0,2829.0,2021.0,12.0,2021-12-01,2.0934505840661504
Others,2021,Dec,3560.0,26013.0,2021.0,12.0,2021-12-01,23.362646016537603
Sri Lanka,2021,Dec,82.0,463.0,2021.0,12.0,2021-12-01,0.5381283633022707
China,2021,Dec,278.0,6198.0,2021.0,12.0,2021-12-01,1.8243864024150152
Italy,2021,Dec,81.0,613.0,2021.0,12.0,2021-12-01,0.5315658222863893
USA,2021,Dec,3541.0,22854.0,2021.0,12.0,2021-12-01,23.237957737235856
UK,2021,Dec,2261.0,8680.0,2021.0,12.0,2021-12-01,14.83790523690773
Australia,2021,Dec,1211.0,2477.0,2021.0,12.0,2021-12-01,7.947237170232315
Netherlands,2021,Dec,188.0,1303.0,2021.0,12.0,2021-12-01,1.2337577109856936
Bangladesh,2021,Dec,2162.0,5044.0,2021.0,12.0,2021-12-01,14.188213676335476
Malaysia,2021,Dec,88.0,331.0,2021.0,12.0,2021-12-01,0.5775036093975587
South Korea,2021,Dec,174.0,1263.0,2021.0,12.0,2021-12-01,1.1418821367633547
Myanmar,2021,Dec,45.0,344.0,2021.0,12.0,2021-12-01,0.2953143457146607
Netherlands,2022,Jan,142.0,7515.0,2022.0,1.0,2022-01-01,1.0872894333843797
Sri Lanka,2022,Jan,54.0,4606.0,2022.0,1.0,2022-01-01,0.41347626339969373
Myanmar,2022,Jan,39.0,2427.0,2022.0,1.0,2022-01-01,0.2986217457886677
Canada,2022,Jan,361.0,9755.0,2022.0,1.0,2022-01-01,2.76416539050536
Malaysia,2022,Jan,106.0,9569.0,2022.0,1.0,2022-01-01,0.8116385911179173
Japan,2022,Jan,130.0,5714.0,2022.0,1.0,2022-01-01,0.9954058192955589
UK,2022,Jan,1824.0,45094.0,2022.0,1.0,2022-01-01,13.966309341500766
Spain,2022,Jan,151.0,8349.0,2022.0,1.0,2022-01-01,1.1562021439509955
France,2022,Jan,283.0,16933.0,2022.0,1.0,2022-01-01,2.1669218989280243
South Korea,2022,Jan,209.0,8240.0,2022.0,1.0,2022-01-01,1.6003062787136295
Germany,2022,Jan,364.0,17742.0,2022.0,1.0,2022-01-01,2.787136294027565
Australia,2022,Jan,1213.0,26894.0,2022.0,1.0,2022-01-01,9.287901990811639
Thailand,2022,Jan,121.0,9935.0,2022.0,1.0,2022-01-01,0.9264931087289433
Italy,2022,Jan,66.0,6388.0,2022.0,1.0,2022-01-01,0.5053598774885145
USA,2022,Jan,3259.0,77083.0,2022.0,1.0,2022-01-01,24.95405819295559
Others,2022,Jan,3182.0,114309.0,2022.0,1.0,2022-01-01,24.36447166921899
Bangladesh,2022,Jan,1236.0,25383.0,2022.0,1.0,2022-01-01,9.464012251148546
China,2022,Jan,320.0,9599.0,2022.0,1.0,2022-01-01,2.4502297090352223
South Korea,2022,Feb,163.0,8240.0,2022.0,2.0,2022-02-01,1.1776605736579726
Netherlands,2022,Feb,253.0,7515.0,2022.0,2.0,2022-02-01,1.8279026081930498
Sri Lanka,2022,Feb,74.0,4606.0,2022.0,2.0,2022-02-01,0.53464345061773
China,2022,Feb,206.0,9599.0,2022.0,2.0,2022-02-01,1.4883317679358428
France,2022,Feb,537.0,16933.0,2022.0,2.0,2022-02-01,3.8797774727259595
UK,2022,Feb,2218.0,45094.0,2022.0,2.0,2022-02-01,16.02485369554223
Myanmar,2022,Feb,27.0,2427.0,2022.0,2.0,2022-02-01,0.1950726103605231
Italy,2022,Feb,72.0,6388.0,2022.0,2.0,2022-02-01,0.5201936276280615
Australia,2022,Feb,1053.0,26894.0,2022.0,2.0,2022-02-01,7.6078318040604
Bangladesh,2022,Feb,888.0,25383.0,2022.0,2.0,2022-02-01,6.41572140741276
USA,2022,Feb,3206.0,77083.0,2022.0,2.0,2022-02-01,23.16306625243841
Spain,2022,Feb,183.0,8349.0,2022.0,2.0,2022-02-01,1.3221588035546565
Malaysia,2022,Feb,117.0,9569.0,2022.0,2.0,2022-02-01,0.8453146448956
Germany,2022,Feb,645.0,17742.0,2022.0,2.0,2022-02-01,4.660067914168051
Japan,2022,Feb,85.0,5714.0,2022.0,2.0,2022-02-01,0.614117477060906
Others,2022,Feb,3503.0,114309.0,2022.0,2.0,2022-02-01,25.30886496640416
Thailand,2022,Feb,191.0,9935.0,2022.0,2.0,2022-02-01,1.37995809551333
Canada,2022,Feb,420.0,9755.0,2022.0,2.0,2022-02-01,3.034462827830359
China,2022,Mar,434.0,9599.0,2022.0,3.0,2022-03-01,1.600413009808983
France,2022,Mar,1638.0,16933.0,2022.0,3.0,2022-03-01,6.0402684563758395
Australia,2022,Mar,1450.0,26894.0,2022.0,3.0,2022-03-01,5.347001991297294
UK,2022,Mar,4033.0,45094.0,2022.0,3.0,2022-03-01,14.872040710966886
Japan,2022,Mar,190.0,5714.0,2022.0,3.0,2022-03-01,0.7006416402389557
Myanmar,2022,Mar,29.0,2427.0,2022.0,3.0,2022-03-01,0.10694003982594587
Thailand,2022,Mar,274.0,9935.0,2022.0,3.0,2022-03-01,1.0103989969761782
South Korea,2022,Mar,247.0,8240.0,2022.0,3.0,2022-03-01,0.9108341323106425
Germany,2022,Mar,1826.0,17742.0,2022.0,3.0,2022-03-01,6.7335349214543845
Sri Lanka,2022,Mar,175.0,4606.0,2022.0,3.0,2022-03-01,0.6453278265358803
USA,2022,Mar,4909.0,77083.0,2022.0,3.0,2022-03-01,18.10236743122649
Canada,2022,Mar,753.0,9755.0,2022.0,3.0,2022-03-01,2.7767534478943876
Others,2022,Mar,7641.0,114309.0,2022.0,3.0,2022-03-01,28.17685670034663
Bangladesh,2022,Mar,2152.0,25383.0,2022.0,3.0,2022-03-01,7.935688472601224
Malaysia,2022,Mar,314.0,9569.0,2022.0,3.0,2022-03-01,1.1579025001843795
Netherlands,2022,Mar,463.0,7515.0,2022.0,3.0,2022-03-01,1.7073530496349287
Italy,2022,Mar,234.0,6388.0,2022.0,3.0,2022-03-01,0.862895493767977
Spain,2022,Mar,356.0,8349.0,2022.0,3.0,2022-03-01,1.3127811785529906
Thailand,2022,Apr,617.0,9935.0,2022.0,4.0,2022-04-01,1.577480633037609
Malaysia,2022,Apr,507.0,9569.0,2022.0,4.0,2022-04-01,1.2962442154782297
UK,2022,Apr,5400.0,45094.0,2022.0,4.0,2022-04-01,13.806151407460435
Sri Lanka,2022,Apr,297.0,4606.0,2022.0,4.0,2022-04-01,0.7593383274103239
China,2022,Apr,350.0,9599.0,2022.0,4.0,2022-04-01,0.894843146779843
Italy,2022,Apr,508.0,6388.0,2022.0,4.0,2022-04-01,1.298800910183315
USA,2022,Apr,7345.0,77083.0,2022.0,4.0,2022-04-01,18.77892260885128
Japan,2022,Apr,371.0,5714.0,2022.0,4.0,2022-04-01,0.9485337355866337
Germany,2022,Apr,2132.0,17742.0,2022.0,4.0,2022-04-01,5.450873111241786
Others,2022,Apr,11952.0,114309.0,2022.0,4.0,2022-04-01,30.5576151151791
Spain,2022,Apr,940.0,8349.0,2022.0,4.0,2022-04-01,2.40329302278015
France,2022,Apr,1992.0,16933.0,2022.0,4.0,2022-04-01,5.092935852529849
Bangladesh,2022,Apr,1583.0,25383.0,2022.0,4.0,2022-04-01,4.0472477181499755
Canada,2022,Apr,1065.0,9755.0,2022.0,4.0,2022-04-01,2.722879860915808
Netherlands,2022,Apr,806.0,7515.0,2022.0,4.0,2022-04-01,2.0606959322987244
Australia,2022,Apr,2747.0,26894.0,2022.0,4.0,2022-04-01,7.023240354869226
Myanmar,2022,Apr,53.0,2427.0,2022.0,4.0,2022-04-01,0.13550481936951908
South Korea,2022,Apr,448.0,8240.0,2022.0,4.0,2022-04-01,1.145399227878199
South Korea,2022,May,362.0,8240.0,2022.0,5.0,2022-05-01,1.32411573210432
Australia,2022,May,1618.0,26894.0,2022.0,5.0,2022-05-01,5.918285233549142
USA,2022,May,7318.0,77083.0,2022.0,5.0,2022-05-01,26.76762134679396
Germany,2022,May,776.0,17742.0,2022.0,5.0,2022-05-01,2.83843593401368
China,2022,May,391.0,9599.0,2022.0,5.0,2022-05-01,1.4301913018032848
Italy,2022,May,368.0,6388.0,2022.0,5.0,2022-05-01,1.3460624016972091
UK,2022,May,2461.0,45094.0,2022.0,5.0,2022-05-01,9.001792311350085
France,2022,May,858.0,16933.0,2022.0,5.0,2022-05-01,3.138373751783167
Thailand,2022,May,329.0,9935.0,2022.0,5.0,2022-05-01,1.2034090493434286
Sri Lanka,2022,May,194.0,4606.0,2022.0,5.0,2022-05-01,0.70960898350342
Canada,2022,May,764.0,9755.0,2022.0,5.0,2022-05-01,2.7945425948279015
Malaysia,2022,May,454.0,9569.0,2022.0,5.0,2022-05-01,1.6606313325286222
Myanmar,2022,May,54.0,2427.0,2022.0,5.0,2022-05-01,0.19752002633600352
Netherlands,2022,May,315.0,7515.0,2022.0,5.0,2022-05-01,1.1522001536266873
Others,2022,May,7207.0,114309.0,2022.0,5.0,2022-05-01,26.361607959325507
Spain,2022,May,330.0,8349.0,2022.0,5.0,2022-05-01,1.2070668276089103
Japan,2022,May,272.0,5714.0,2022.0,5.0,2022-05-01,0.9949156882109806
Bangladesh,2022,May,3268.0,25383.0,2022.0,5.0,2022-05-01,11.953619371593692
Myanmar,2022,Jun,75.0,2427.0,2022.0,6.0,2022-06-01,0.31633556877135266
Australia,2022,Jun,1482.0,26894.0,2022.0,6.0,2022-06-01,6.250790838921929
Thailand,2022,Jun,305.0,9935.0,2022.0,6.0,2022-06-01,1.2864313130035008
Spain,2022,Jun,224.0,8349.0,2022.0,6.0,2022-06-01,0.9447888987304399
Sri Lanka,2022,Jun,203.0,4606.0,2022.0,6.0,2022-06-01,0.8562149394744611
Netherlands,2022,Jun,201.0,7515.0,2022.0,6.0,2022-06-01,0.847779324307225
South Korea,2022,Jun,335.0,8240.0,2022.0,6.0,2022-06-01,1.4129655405120418
UK,2022,Jun,2000.0,45094.0,2022.0,6.0,2022-06-01,8.43561516723607
Bangladesh,2022,Jun,2058.0,25383.0,2022.0,6.0,2022-06-01,8.680248007085916
Others,2022,Jun,5481.0,114309.0,2022.0,6.0,2022-06-01,23.117803365810452
China,2022,Jun,450.0,9599.0,2022.0,6.0,2022-06-01,1.8980134126281158
France,2022,Jun,507.0,16933.0,2022.0,6.0,2022-06-01,2.138428444894344
Japan,2022,Jun,322.0,5714.0,2022.0,6.0,2022-06-01,1.3581340419250074
Malaysia,2022,Jun,469.0,9569.0,2022.0,6.0,2022-06-01,1.9781517567168585
Italy,2022,Jun,181.0,6388.0,2022.0,6.0,2022-06-01,0.7634231726348644
Canada,2022,Jun,630.0,9755.0,2022.0,6.0,2022-06-01,2.657218777679362
Germany,2022,Jun,436.0,17742.0,2022.0,6.0,2022-06-01,1.8389641064574636
USA,2022,Jun,8350.0,77083.0,2022.0,6.0,2022-06-01,35.218693323210594
France,2022,Jul,759.0,16933.0,2022.0,7.0,2022-07-01,2.8045671211617336
Myanmar,2022,Jul,43.0,2427.0,2022.0,7.0,2022-07-01,0.15888851938070428
Spain,2022,Jul,705.0,8349.0,2022.0,7.0,2022-07-01,2.6050327014743377
Sri Lanka,2022,Jul,219.0,4606.0,2022.0,7.0,2022-07-01,0.809222924287773
Germany,2022,Jul,718.0,17742.0,2022.0,7.0,2022-07-01,2.6530687654731553
Italy,2022,Jul,350.0,6388.0,2022.0,7.0,2022-07-01,1.2932786461220116
South Korea,2022,Jul,558.0,8240.0,2022.0,7.0,2022-07-01,2.0618556701030926
Japan,2022,Jul,466.0,5714.0,2022.0,7.0,2022-07-01,1.7219081402653067
Australia,2022,Jul,1148.0,26894.0,2022.0,7.0,2022-07-01,4.241953959280198
USA,2022,Jul,5228.0,77083.0,2022.0,7.0,2022-07-01,19.317887891216788
Thailand,2022,Jul,430.0,9935.0,2022.0,7.0,2022-07-01,1.588885193807043
Malaysia,2022,Jul,738.0,9569.0,2022.0,7.0,2022-07-01,2.726970402394413
Bangladesh,2022,Jul,1874.0,25383.0,2022.0,7.0,2022-07-01,6.924583379521857
UK,2022,Jul,3953.0,45094.0,2022.0,7.0,2022-07-01,14.606658537486606
China,2022,Jul,1595.0,9599.0,2022.0,7.0,2022-07-01,5.8936555444703105
Canada,2022,Jul,616.0,9755.0,2022.0,7.0,2022-07-01,2.2761704171747406
Others,2022,Jul,7065.0,114309.0,2022.0,7.0,2022-07-01,26.10575324243432
Netherlands,2022,Jul,598.0,7515.0,2022.0,7.0,2022-07-01,2.209658943945608
China,2022,Aug,1288.0,9599.0,2022.0,8.0,2022-08-01,5.119847358588067
UK,2022,Aug,2826.0,45094.0,2022.0,8.0,2022-08-01,11.233453909448663
Japan,2022,Aug,541.0,5714.0,2022.0,8.0,2022-08-01,2.150494892077752
Bangladesh,2022,Aug,1751.0,25383.0,2022.0,8.0,2022-08-01,6.96028938267679
South Korea,2022,Aug,574.0,8240.0,2022.0,8.0,2022-08-01,2.2816711054577254
Italy,2022,Aug,941.0,6388.0,2022.0,8.0,2022-08-01,3.7405095997137976
Germany,2022,Aug,809.0,17742.0,2022.0,8.0,2022-08-01,3.2158047461939026
Others,2022,Aug,7004.0,114309.0,2022.0,8.0,2022-08-01,27.84115753070716
Myanmar,2022,Aug,66.0,2427.0,2022.0,8.0,2022-08-01,0.2623524267599475
USA,2022,Aug,4070.0,77083.0,2022.0,8.0,2022-08-01,16.178399650196766
Netherlands,2022,Aug,483.0,7515.0,2022.0,8.0,2022-08-01,1.9199427594705252
Spain,2022,Aug,910.0,8349.0,2022.0,8.0,2022-08-01,3.617283459872004
Thailand,2022,Aug,284.0,9935.0,2022.0,8.0,2022-08-01,1.1289104424215923
Sri Lanka,2022,Aug,232.0,4606.0,2022.0,8.0,2022-08-01,0.9222085304289064
Malaysia,2022,Aug,960.0,9569.0,2022.0,8.0,2022-08-01,3.8160352983265096
Canada,2022,Aug,552.0,9755.0,2022.0,8.0,2022-08-01,2.194220296537743
Australia,2022,Aug,1210.0,26894.0,2022.0,8.0,2022-08-01,4.809794490599038
France,2022,Aug,656.0,16933.0,2022.0,8.0,2022-08-01,2.607624120523115
France,2022,Sep,1409.0,16933.0,2022.0,9.0,2022-09-01,3.213739935679584
Germany,2022,Sep,1942.0,17742.0,2022.0,9.0,2022-09-01,4.429441415961499
Others,2022,Sep,13449.0,114309.0,2022.0,9.0,2022-09-01,30.675364368314213
Bangladesh,2022,Sep,2312.0,25383.0,2022.0,9.0,2022-09-01,5.273361768127181
USA,2022,Sep,7938.0,77083.0,2022.0,9.0,2022-09-01,18.105512852678878
Italy,2022,Sep,538.0,6388.0,2022.0,9.0,2022-09-01,1.2271058093652352
South Korea,2022,Sep,810.0,8240.0,2022.0,9.0,2022-09-01,1.8475013114978445
Netherlands,2022,Sep,804.0,7515.0,2022.0,9.0,2022-09-01,1.8338161165978604
Canada,2022,Sep,1078.0,9755.0,2022.0,9.0,2022-09-01,2.4587733503637983
China,2022,Sep,1332.0,9599.0,2022.0,9.0,2022-09-01,3.0381132677964553
Sri Lanka,2022,Sep,573.0,4606.0,2022.0,9.0,2022-09-01,1.3069361129484753
Thailand,2022,Sep,643.0,9935.0,2022.0,9.0,2022-09-01,1.4665967201149555
Japan,2022,Sep,596.0,5714.0,2022.0,9.0,2022-09-01,1.3593960267317473
Spain,2022,Sep,911.0,8349.0,2022.0,9.0,2022-09-01,2.0778687589809093
Australia,2022,Sep,4370.0,26894.0,2022.0,9.0,2022-09-01,9.967383618821705
UK,2022,Sep,3927.0,45094.0,2022.0,9.0,2022-09-01,8.956960062039549
Malaysia,2022,Sep,1135.0,9569.0,2022.0,9.0,2022-09-01,2.5887827019136465
Myanmar,2022,Sep,76.0,2427.0,2022.0,9.0,2022-09-01,0.17334580206646444
Japan,2022,Oct,841.0,5714.0,2022.0,10.0,2022-10-01,1.1734010492242437
Italy,2022,Oct,1471.0,6388.0,2022.0,10.0,2022-10-01,2.0524054023886595
Malaysia,2022,Oct,1590.0,9569.0,2022.0,10.0,2022-10-01,2.2184395579863825
Thailand,2022,Oct,1296.0,9935.0,2022.0,10.0,2022-10-01,1.808237526509655
China,2022,Oct,946.0,9599.0,2022.0,10.0,2022-10-01,1.3199017747516464
USA,2022,Oct,11859.0,77083.0,2022.0,10.0,2022-10-01,16.546210514566358
Myanmar,2022,Oct,102.0,2427.0,2022.0,10.0,2022-10-01,0.14231499051233396
Others,2022,Oct,21728.0,114309.0,2022.0,10.0,2022-10-01,30.315883469137177
UK,2022,Oct,7417.0,45094.0,2022.0,10.0,2022-10-01,10.348532202254717
Spain,2022,Oct,2096.0,8349.0,2022.0,10.0,2022-10-01,2.9244335305279607
Netherlands,2022,Oct,1842.0,7515.0,2022.0,10.0,2022-10-01,2.5700412992521486
Australia,2022,Oct,3946.0,26894.0,2022.0,10.0,2022-10-01,5.505636789820293
Sri Lanka,2022,Oct,901.0,4606.0,2022.0,10.0,2022-10-01,1.2571157495256167
France,2022,Oct,4929.0,16933.0,2022.0,10.0,2022-10-01,6.877162629757786
Germany,2022,Oct,4935.0,17742.0,2022.0,10.0,2022-10-01,6.885534099787923
South Korea,2022,Oct,1371.0,8240.0,2022.0,10.0,2022-10-01,1.9128809018863713
Bangladesh,2022,Oct,2720.0,25383.0,2022.0,10.0,2022-10-01,3.795066413662239
Canada,2022,Oct,1682.0,9755.0,2022.0,10.0,2022-10-01,2.3468020984484874
Sri Lanka,2022,Nov,1018.0,4606.0,2022.0,11.0,2022-11-01,1.9531474837397595
USA,2022,Nov,7832.0,77083.0,2022.0,11.0,2022-11-01,15.02657278256365
Thailand,2022,Nov,2441.0,9935.0,2022.0,11.0,2022-11-01,4.6833330135645905
Italy,2022,Nov,833.0,6388.0,2022.0,11.0,2022-11-01,1.5982041787379369
South Korea,2022,Nov,1670.0,8240.0,2022.0,11.0,2022-11-01,3.204082807313751
France,2022,Nov,2561.0,16933.0,2022.0,11.0,2022-11-01,4.9135665087009075
Malaysia,2022,Nov,1593.0,9569.0,2022.0,11.0,2022-11-01,3.056349647934614
China,2022,Nov,1038.0,9599.0,2022.0,11.0,2022-11-01,1.9915197329291459
Japan,2022,Nov,955.0,5714.0,2022.0,11.0,2022-11-01,1.8322748987931927
